Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,240.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,240.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,221.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,217.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,163.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,422.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,162.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,157.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,146.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,144.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,130.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,120.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,100.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,84.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,78.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,79.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,80.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,27.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
"EDELWEISS, INC.& MARISA, INC.",California,Solano,999 - NO PREDOMINANT COUNTRY CODE,303.0,1976.0,38.27,-121.9328,32.2,"Travis AFB, CA",Air Force,,,,
"BELLEI, PLOOG SCHUMIDT",California,Solano,999 - NO PREDOMINANT COUNTRY CODE,31.0,1978.0,38.27,-121.9328,32.2,"Travis AFB, CA",Air Force,,,,
T L.L.C.,Colorado,Grand,998 - NO FOREIGN INVESTOR LISTED,96.78,2004.0,40.1026,-106.1183,32.3,"Fort Carson, CO",Army,,,,
LEHIGH CEMENT CO LLC,Maryland,Carroll,999 - NO PREDOMINANT COUNTRY CODE,154.0,1977.0,39.5629,-77.0225,32.4,"Andrews AFB, MD",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,247.0,1999.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,77.0,2006.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,240.0,1996.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
NEVER BEND LLC,California,San Joaquin,999 - NO PREDOMINANT COUNTRY CODE,80.0,1996.0,37.9348,-121.2714,33.6,"Travis AFB, CA",Air Force,,,,
Evergreen Timber Co. FL  LLC,Florida,Walton,999 - NO PREDOMINANT COUNTRY CODE,185.47,2020.0,30.6436,-86.1697,34.3,"Eglin AFB, FL",Air Force,,,,
Hanson Aggregates Pennsylvania LLC,Maryland,Frederick,999 - NO PREDOMINANT COUNTRY CODE,163.0,2009.0,39.4722,-77.398,34.5,"NRO Chantilly, VA",Intel,0.0,0.0,0.0,0.0
Hanson Aggregates Pennsylvania LLC,Maryland,Frederick,999 - NO PREDOMINANT COUNTRY CODE,26.0,2008.0,39.4722,-77.398,34.5,"NRO Chantilly, VA",Intel,0.0,0.0,0.0,0.0
"HTFF SE-T, LLC",South Carolina,Berkeley,998 - NO FOREIGN INVESTOR LISTED,16477.0,2023.0,33.1973,-79.9522,34.7,"MCAS Beaufort, SC",Navy,0.0,0.0,0.0,0.0
BERKELEY PINES LTD PARTNERSHIP,South Carolina,Berkeley,998 - NO FOREIGN INVESTOR LISTED,954.0,2012.0,33.1973,-79.9522,34.7,"MCAS Beaufort, SC",Navy,,,,
"CRAY FIELDS ENERGY CENTER, LLC",South Carolina,Berkeley,999 - NO PREDOMINANT COUNTRY CODE,787.0,2023.0,33.1973,-79.9522,34.7,"MCAS Beaufort, SC",Navy,0.0,0.0,0.0,0.0
"FIA TIMBER PARTNERS II, LP",Georgia,Talbot,999 - NO PREDOMINANT COUNTRY CODE,9000.0,2011.0,32.6995,-84.533,34.8,"Fort Moore, GA",Army,,,,
"CAROWEST, LTD.",Texas,Comal,999 - NO PREDOMINANT COUNTRY CODE,238.0,1994.0,29.8082,-98.2783,35.7,"Lackland AFB, TX",Air Force,,,,
HTFF Reit Inc,Alabama,Pike,998 - NO FOREIGN INVESTOR LISTED,1826.0,2018.0,31.8027,-85.9409,36.8,"Fort Novosel, AL",Army,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Pike,999 - NO PREDOMINANT COUNTRY CODE,5372.15,2020.0,31.8027,-85.9409,36.8,"Fort Novosel, AL",Army,,,,
Evergreen Timber Co. AL LLC,Alabama,Pike,999 - NO PREDOMINANT COUNTRY CODE,1322.65,2020.0,31.8027,-85.9409,36.8,"Fort Novosel, AL",Army,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Pike,999 - NO PREDOMINANT COUNTRY CODE,69.59,2020.0,31.8027,-85.9409,36.8,"Fort Novosel, AL",Army,,,,
EQUILON PIPELINE COMPANY LLC,Louisiana,St. James,999 - NO PREDOMINANT COUNTRY CODE,559.0,1998.0,30.027,-90.7931,37.1,"Barksdale AFB, LA",Air Force,,,,
"BRYANT, PETER & RAJIN SAVITRI",North Carolina,Sampson,999 - NO PREDOMINANT COUNTRY CODE,152.0,2001.0,34.9916,-78.3714,37.2,"Fort Liberty, NC",Army,,,,
"MEHNERT, VOLKER & GERTRUDE MAEDLER-KRON",Florida,Indian River,999 - NO PREDOMINANT COUNTRY CODE,10.0,1977.0,27.6943,-80.6064,37.3,"Patrick SFB, FL",Navy,,,,
COUNTRYDALE BUSINESS PARK CO.,Colorado,Jefferson,999 - NO PREDOMINANT COUNTRY CODE,244.0,1981.0,39.5864,-105.2505,38.6,"Fort Carson, CO",Army,,,,
"Renwood Ranch, LLC",California,Amador,999 - NO PREDOMINANT COUNTRY CODE,415.09,2013.0,38.4464,-120.6511,38.9,"Travis AFB, CA",Air Force,,,,
"Wineries Real Estate Holdings, Inc",California,Amador,999 - NO PREDOMINANT COUNTRY CODE,40.08,2011.0,38.4464,-120.6511,38.9,"Travis AFB, CA",Air Force,,,,
Hacienda Springs LLC,Texas,Kendall,998 - NO FOREIGN INVESTOR LISTED,319.0,2009.0,29.9447,-98.7115,39.2,"Lackland AFB, TX",Air Force,,,,
Hacienda Springs LLC,Texas,Kendall,998 - NO FOREIGN INVESTOR LISTED,101.0,2010.0,29.9447,-98.7115,39.2,"Lackland AFB, TX",Air Force,,,,
"LEWIS DEVELOPMENT, LLC",Washington,Lewis,999 - NO PREDOMINANT COUNTRY CODE,1217.0,2016.0,46.5778,-122.3927,39.4,"Joint Base Lewis-McChord, WA",Army,,,,
"Boistfort Wind Farm, LLC",Washington,Lewis,998 - NO FOREIGN INVESTOR LISTED,15624.0,2022.0,46.5778,-122.3927,39.4,"Joint Base Lewis-McChord, WA",Army,,,,
"Tanager Timber, LLC",Virginia,Middlesex,999 - NO PREDOMINANT COUNTRY CODE,131.0,2021.0,37.6303,-76.5698,39.5,"Langley AFB, VA",Air Force,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Perry,999 - NO PREDOMINANT COUNTRY CODE,8423.54,2020.0,32.6385,-87.2944,41.0,"Maxwell AFB, AL",Air Force,,,,
Evergreen Timber Co. AL LLC,Alabama,Perry,999 - NO PREDOMINANT COUNTRY CODE,2361.32,2020.0,32.6385,-87.2944,41.0,"Maxwell AFB, AL",Air Force,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Perry,999 - NO PREDOMINANT COUNTRY CODE,796.23,2020.0,32.6385,-87.2944,41.0,"Maxwell AFB, AL",Air Force,,,,
Evergreen Timber Co. AL LLC,Alabama,Perry,999 - NO PREDOMINANT COUNTRY CODE,81.6,2020.0,32.6385,-87.2944,41.0,"Maxwell AFB, AL",Air Force,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Perry,999 - NO PREDOMINANT COUNTRY CODE,78.84,2020.0,32.6385,-87.2944,41.0,"Maxwell AFB, AL",Air Force,,,,
"COTTONTAIL SOLAR 2, LLC",Pennsylvania,York,999 - NO PREDOMINANT COUNTRY CODE,136.97,2021.0,39.92,-76.7265,41.2,"Aberdeen Proving Ground, MD",Navy,,,,
"COTTONTAIL SOLAR 1, LLC",Pennsylvania,York,999 - NO PREDOMINANT COUNTRY CODE,135.69,2021.0,39.92,-76.7265,41.2,"Aberdeen Proving Ground, MD",Navy,,,,
"COTTONTAIL SOLAR 8, LLC",Pennsylvania,York,999 - NO PREDOMINANT COUNTRY CODE,106.86,2021.0,39.92,-76.7265,41.2,"Aberdeen Proving Ground, MD",Navy,,,,
"COTTONTAIL SOLAR 1, LLC",Pennsylvania,York,999 - NO PREDOMINANT COUNTRY CODE,9.66,2021.0,39.92,-76.7265,41.2,"Aberdeen Proving Ground, MD",Navy,,,,
"CHOWCHILLA INVESTMENTS, INC.",California,Fresno,999 - NO PREDOMINANT COUNTRY CODE,2134.0,1998.0,36.7582,-119.6493,41.3,"Lemoore NAS, CA",Air Force,,,,
Cutlass Solar II LLC,Texas,Fort Bend,998 - NO FOREIGN INVESTOR LISTED,1107.74,2022.0,29.5275,-95.7709,41.7,"Ellington Field, TX",Air Force,0.0,0.0,0.0,0.0
"FJ Battery, LLC",Texas,Fort Bend,999 - NO PREDOMINANT COUNTRY CODE,22.98,2021.0,29.5275,-95.7709,41.7,"Ellington Field, TX",Air Force,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Barbour,999 - NO PREDOMINANT COUNTRY CODE,1820.13,2020.0,31.8696,-85.3932,41.7,"Fort Moore, GA",Army,,,,
"HORIZONS 2000, INC.",Alabama,Macon,999 - NO PREDOMINANT COUNTRY CODE,165.0,1985.0,32.3859,-85.6927,42.4,"Fort Moore, GA",Army,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Macon,999 - NO PREDOMINANT COUNTRY CODE,3590.1,2020.0,32.3859,-85.6927,42.4,"Fort Moore, GA",Army,,,,
Evergreen Timber Co. AL LLC,Alabama,Macon,999 - NO PREDOMINANT COUNTRY CODE,1516.8,2020.0,32.3859,-85.6927,42.4,"Fort Moore, GA",Army,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Macon,999 - NO PREDOMINANT COUNTRY CODE,495.55,2020.0,32.3859,-85.6927,42.4,"Fort Moore, GA",Army,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Macon,999 - NO PREDOMINANT COUNTRY CODE,371.76,2020.0,32.3859,-85.6927,42.4,"Fort Moore, GA",Army,,,,
"STA Pharmaceutical USA, Co",Delaware,New Castle,999 - NO PREDOMINANT COUNTRY CODE,189.55,2021.0,39.5768,-75.6527,43.5,"Aberdeen Proving Ground, MD",Navy,1.0,0.0,0.0,0.0
"Pederson Natural Farms, Inc",Texas,Hamilton,998 - NO FOREIGN INVESTOR LISTED,132.12,2013.0,31.7048,-98.1107,43.7,"Fort Cavazos, TX",Army,,,,
"HTFF SE-A, LLC",North Carolina,Bladen,999 - NO PREDOMINANT COUNTRY CODE,1147.35,2023.0,34.6146,-78.5637,43.9,"Fort Liberty, NC",Army,0.0,0.0,0.0,0.0
"FIA TIMBER PARTNERS II, LP",Georgia,Taylor,999 - NO PREDOMINANT COUNTRY CODE,2250.0,2011.0,32.5555,-84.2505,44.0,"Fort Moore, GA",Army,,,,
LEFRAFO LLC,Georgia,Taylor,998 - NO FOREIGN INVESTOR LISTED,415.94,2018.0,32.5555,-84.2505,44.0,"Fort Moore, GA",Army,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Covington,999 - NO PREDOMINANT COUNTRY CODE,2525.18,2020.0,31.2485,-86.4513,44.6,"Fort Novosel, AL",Army,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Covington,999 - NO PREDOMINANT COUNTRY CODE,945.32,2020.0,31.2485,-86.4513,44.6,"Fort Novosel, AL",Army,,,,
Evergreen Timber Co. AL LLC,Alabama,Covington,999 - NO PREDOMINANT COUNTRY CODE,510.06,2020.0,31.2485,-86.4513,44.6,"Fort Novosel, AL",Army,,,,
NORTHERN TRUST CO. TRUST #2-45255,Texas,McLennan,998 - NO FOREIGN INVESTOR LISTED,13.0,1985.0,31.5524,-97.2018,44.7,"Fort Cavazos, TX",Army,,,,
"Tanager Timber, LLC",Virginia,Lancaster,999 - NO PREDOMINANT COUNTRY CODE,779.6,2014.0,37.7345,-76.4632,45.4,"Langley AFB, VA",Air Force,,,,
"VIRGINIA LAND & TIMBER, L.P.",Virginia,New Kent,999 - NO PREDOMINANT COUNTRY CODE,278.0,1989.0,37.5052,-76.9974,45.6,"Langley AFB, VA",Air Force,,,,
ACP PENNSVILLE ASSOCIATES,New Jersey,Salem,999 - NO PREDOMINANT COUNTRY CODE,41.0,1992.0,39.5876,-75.3491,45.6,"Joint Base McGuire-Dix, NJ",Army,,,,
HANSON AGGREGATES PENNSYLVANIA LLC,New Jersey,Cumberland,998 - NO FOREIGN INVESTOR LISTED,281.0,2021.0,39.3739,-75.1107,45.7,"Joint Base McGuire-Dix, NJ",Army,,,,
TASSA-HIGHLAND CORP.,California,Contra Costa,999 - NO PREDOMINANT COUNTRY CODE,233.0,1992.0,37.9192,-121.9275,45.8,"Travis AFB, CA",Air Force,,,,
"Tanager Timber, LLC",Virginia,Spotsylvania,999 - NO PREDOMINANT COUNTRY CODE,1089.0,2014.0,38.1851,-77.6561,45.8,"Fort Belvoir, VA",Army,,,,
"Tanager Timber, LLC",Virginia,Westmoreland,999 - NO PREDOMINANT COUNTRY CODE,290.0,2014.0,38.112,-76.8042,46.1,"Fort Belvoir, VA",Army,,,,
Evergreen Timber Co. AL LLC,Alabama,Crenshaw,999 - NO PREDOMINANT COUNTRY CODE,10757.94,2020.0,31.7315,-86.3136,46.4,"Fort Novosel, AL",Army,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Crenshaw,999 - NO PREDOMINANT COUNTRY CODE,4644.28,2020.0,31.7315,-86.3136,46.4,"Fort Novosel, AL",Army,,,,
"FLOWERING HILLS FARM, INC.",Florida,Alachua,999 - NO PREDOMINANT COUNTRY CODE,473.0,1981.0,29.6747,-82.3577,46.8,"Camp Blanding, FL",Army,,,,
HTFF Reit Inc,Alabama,Coosa,998 - NO FOREIGN INVESTOR LISTED,19839.0,2018.0,32.9362,-86.2477,47.0,"Maxwell AFB, AL",Air Force,,,,
